Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",569036,1-Dihomo-gamma-linolenoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008404
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",627952,"1-Dihomo-gamma-linolenoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008408
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",309078,"1,2-bis(Dihomo-gamma-linolenoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008409
"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",192321,1-Dihomo-gamma-linolenoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008414
"PC(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))",578533,"1-Dihomo-gamma-linolenoyl-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008415
"PC(20:3(8Z,11Z,14Z)/P-18:0)",728371,1-Dihomo-gamma-linolenoyl-2-(stearoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008423
"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",878459,1-Arachidonoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008426
"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))",483534,1-Arachidonoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008430
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",975785,1-Arachidonoyl-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008434
"PC(20:4(5Z,8Z,11Z,14Z)/20:0)",840909,1-Arachidonoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008438
"PC(20:4(5Z,8Z,11Z,14Z)/20:2(11Z,14Z))",978878,"1-Arachidonoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008440
"PC(20:4(5Z,8Z,11Z,14Z)/22:0)",742703,1-Arachidonoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008446
"PC(20:4(5Z,8Z,11Z,14Z)/22:1(13Z))",543876,1-Arachidonoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008447
"PC(20:4(8Z,11Z,14Z,17Z)/14:0)",260572,,Chemical,HMDB0008459
"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",566818,,Chemical,HMDB0008463
"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))",182347,,Chemical,HMDB0008467
"PC(20:4(8Z,11Z,14Z,17Z)/20:0)",173497,,Chemical,HMDB0008471
"PC(20:4(8Z,11Z,14Z,17Z)/20:2(11Z,14Z))",617953,,Chemical,HMDB0008473
"PC(20:4(8Z,11Z,14Z,17Z)/22:0)",150116,,Chemical,HMDB0008479
"PC(20:4(8Z,11Z,14Z,17Z)/22:1(13Z))",594572,,Chemical,HMDB0008480
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",298560,1-Eicosapentaenoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008495
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",667321,1-Eicosapentaenoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008496
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))",242804,1-Eicosapentaenoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008498
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))",177468,1-Eicosapentaenoyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008499
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))",450309,1-Eicosapentaenoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008505
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:0)",839344,1-Eicosapentaenoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008512
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)",780435,1-Eicosapentaenoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008521
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))",128437,,Chemical,HMDB0008523
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(9Z))",570577,,Chemical,HMDB0008524
PC(22:0/14:0),205914,1-Behenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008525
PC(22:0/14:1(9Z)),623781,1-Behenoyl-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008526
"PC(22:0/18:4(6Z,9Z,12Z,15Z))",611735,1-Behenoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008536
PC(22:0/20:0),445831,1-Behenoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008537
PC(22:0/20:1(11Z)),397150,1-Behenoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008538
"PC(22:0/20:4(5Z,8Z,11Z,14Z))",456421,1-Behenoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008542
"PC(22:0/20:4(8Z,11Z,14Z,17Z))",886157,,Chemical,HMDB0008543
"PC(22:0/20:5(5Z,8Z,11Z,14Z,17Z))",158644,1-Behenoyl-2-eicosapentaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008544
PC(22:1(13Z)/14:0),678815,1-Erucoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008558
"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",778211,1-Erucoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008566
"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",942769,1-Erucoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008567
PC(22:1(13Z)/20:0),843463,1-Erucoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008569
"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",262113,"1-Erucoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008572
"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",878630,1-Erucoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008573
"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",315317,1-Erucoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008574
"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",940795,,Chemical,HMDB0008575
"PC(22:2(13Z,16Z)/16:1(9Z))",871216,,Chemical,HMDB0008594
"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",146930,,Chemical,HMDB0008598
"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",518778,,Chemical,HMDB0008601
"PC(22:2(13Z,16Z)/20:2(11Z,14Z))",867333,,Chemical,HMDB0008604
"PC(22:2(13Z,16Z)/20:3(5Z,8Z,11Z))",320978,,Chemical,HMDB0008605
"PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))",297439,,Chemical,HMDB0008606
"PC(22:4(7Z,10Z,13Z,16Z)/14:1(9Z))",469746,,Chemical,HMDB0008624
"PC(22:4(7Z,10Z,13Z,16Z)/18:0)",394765,,Chemical,HMDB0008628
"PC(22:4(7Z,10Z,13Z,16Z)/18:2(9Z,12Z))",882883,,Chemical,HMDB0008631
"PC(22:4(7Z,10Z,13Z,16Z)/20:0)",564008,,Chemical,HMDB0008635
"PC(22:4(7Z,10Z,13Z,16Z)/20:1(11Z))",426512,,Chemical,HMDB0008636
"PC(22:4(7Z,10Z,13Z,16Z)/P-18:0)",833464,,Chemical,HMDB0008653
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:0)",103151,,Chemical,HMDB0008656
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))",895999,,Chemical,HMDB0008657
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))",516190,,Chemical,HMDB0008660
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11Z))",222840,,Chemical,HMDB0008662
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))",818727,,Chemical,HMDB0008663
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0)",527494,,Chemical,HMDB0008668
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))",611862,,Chemical,HMDB0008687
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))",521694,,Chemical,HMDB0008688
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0)",709188,,Chemical,HMDB0008689
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",161758,,Chemical,HMDB0008690
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))",712281,,Chemical,HMDB0008693
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(11Z))",130575,,Chemical,HMDB0008695
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",718684,,Chemical,HMDB0008696
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:0)",127934,,Chemical,HMDB0008701
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))",224505,,Chemical,HMDB0008720
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",331216,,Chemical,HMDB0008721
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)",670723,1-Docosahexaenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008722
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)",220622,1-Docosahexaenoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008725
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)",756001,1-Docosahexaenoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008727
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",230009,,Chemical,HMDB0008751
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",947079,,Chemical,HMDB0008752
PC(24:0/18:0),111083,1-Lignoceroyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008760
PC(24:0/18:1(11Z)),324091,1-Lignoceroyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008761
PC(24:0/18:1(9Z)),330428,1-Lignoceroyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008762
"PC(24:0/18:4(6Z,9Z,12Z,15Z))",722111,1-Lignoceroyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008766
PC(24:0/P-18:0),685192,,Chemical,HMDB0008785
PC(24:0/P-18:1(11Z)),719470,,Chemical,HMDB0008786
PC(24:0/P-18:1(9Z)),553566,,Chemical,HMDB0008787
PC(24:1(15Z)/18:0),559723,1-Nervonoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008793
"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",972618,1-Nervonoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008797
"PC(24:1(15Z)/18:4(6Z,9Z,12Z,15Z))",646008,1-Nervonoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008799
PC(24:1(15Z)/P-18:0),737177,,Chemical,HMDB0008818
SM(d18:1/16:0),392342,"Palmitoyl sphingomyelin, N-Palmitoyl-D-erythro-sphingosylphosphorylcholine",Chemical,HMDB0010169
11b-PGF2a,885945,11-beta-Prostaglandin F2α,Chemical,HMDB0010199
Ethyl glucuronide,558966,EtG,Chemical,HMDB0010325
"5,8,11-Eicosatrienoic acid",139117,Mead acid,Chemical,HMDB0010378
LysoPC(14:0),646961,1-Myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0010379
LysoPC(16:0),938090,1-Palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0010382
LysoPC(18:0),290812,1-Stearoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0010384
LysoPC(18:1(11Z)),977758,1-cis-Vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0010385
"LysoPC(18:2(9Z,12Z))",356064,1-Linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0010386
"LysoPC(20:3(5Z,8Z,11Z))",755852,"1-(5Z,8Z,11Z-Eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0010393
"LysoPC(20:4(8Z,11Z,14Z,17Z))",965844,,Chemical,HMDB0010396
LysoPC(P-18:1(9Z)),352181,,Chemical,HMDB0010408
1-Methylxanthine,705825,,Chemical,HMDB0010738
"1,7-Dimethyluric acid",253085,,Chemical,HMDB0011103
5-Acetylamino-6-formylamino-3-methyluracil,854594,AFMU,Chemical,HMDB0011105
5-HETE,454226,5-Hydroxyeicosatetraenoic acid,Chemical,HMDB0011134
"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",107765,,Chemical,HMDB0011201
PC(P-16:0/14:0),948856,1-(Palmitoyl-plasmenyl)-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0011203
PC(P-16:0/16:1(9Z)),463476,1-(Palmitoyl-plasmenyl)-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0011207
PC(P-16:0/18:1(11Z)),271988,,Chemical,HMDB0011209
PC(P-16:0/18:1(9Z)),140115,,Chemical,HMDB0011210
"PC(P-16:0/18:2(9Z,12Z))",657959,,Chemical,HMDB0011211
"PC(P-16:0/18:3(6Z,9Z,12Z))",795272,,Chemical,HMDB0011212
"PC(P-16:0/18:3(9Z,12Z,15Z))",780870,,Chemical,HMDB0011213
"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",580687,,Chemical,HMDB0011214
PC(P-16:0/20:0),861420,,Chemical,HMDB0011215
PC(P-16:0/20:1(11Z)),844620,,Chemical,HMDB0011216
"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",835770,,Chemical,HMDB0011229
PC(P-18:0/14:1(9Z)),879611,,Chemical,HMDB0011237
PC(P-18:0/16:1(9Z)),946632,,Chemical,HMDB0011240
PC(P-18:0/18:0),474241,,Chemical,HMDB0011241
PC(P-18:0/18:1(11Z)),792536,,Chemical,HMDB0011242
PC(P-18:0/18:1(9Z)),863523,,Chemical,HMDB0011243
"PC(P-18:0/20:3(5Z,8Z,11Z))",769155,,Chemical,HMDB0011251
"PC(P-18:0/20:3(8Z,11Z,14Z))",886466,,Chemical,HMDB0011252
"PC(P-18:0/22:4(7Z,10Z,13Z,16Z))",610298,,Chemical,HMDB0011259
"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",472405,,Chemical,HMDB0011262
PC(P-18:0/24:0),882583,,Chemical,HMDB0011263
PC(P-18:0/24:1(15Z)),275843,,Chemical,HMDB0011264
PC(P-18:1(11Z)/14:0),185654,,Chemical,HMDB0011269
PC(P-18:1(11Z)/14:1(9Z)),431927,,Chemical,HMDB0011270
PC(P-18:1(11Z)/16:0),521515,,Chemical,HMDB0011272
PC(P-18:1(11Z)/16:1(9Z)),708939,,Chemical,HMDB0011273
PC(P-18:1(11Z)/18:0),286073,,Chemical,HMDB0011274
"PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",206958,,Chemical,HMDB0011280
"PC(P-18:1(11Z)/20:2(11Z,14Z))",722156,,Chemical,HMDB0011283
"PC(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",183578,,Chemical,HMDB0011288
"PC(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",590529,,Chemical,HMDB0011293
"PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",561692,,Chemical,HMDB0011294
PC(P-18:1(11Z)/24:0),845072,,Chemical,HMDB0011296
PC(P-18:1(9Z)/14:0),130855,,Chemical,HMDB0011302
PC(P-18:1(9Z)/14:1(9Z)),113366,,Chemical,HMDB0011303
PC(P-18:1(9Z)/16:0),777190,,Chemical,HMDB0011305
PC(P-18:1(9Z)/16:1(9Z)),841591,,Chemical,HMDB0011306
PC(P-18:1(9Z)/18:0),213050,,Chemical,HMDB0011307
"PC(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",523964,,Chemical,HMDB0011313
"PC(P-18:1(9Z)/20:2(11Z,14Z))",877609,,Chemical,HMDB0011316
"PC(P-18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",528704,,Chemical,HMDB0011321
PC(P-18:1(9Z)/22:0),950662,,Chemical,HMDB0011322
"PC(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",164753,,Chemical,HMDB0011326
"PC(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",463799,,Chemical,HMDB0011327
PC(P-18:1(9Z)/24:0),863587,,Chemical,HMDB0011329
1-Methyladenine,173579,m1A,Chemical,HMDB0011599
3-Methyladenine,499637,m3A,Chemical,HMDB0011600
4-Hydroxybenzaldehyde,704901,,Chemical,HMDB0011718
2-Methylhippuric acid,912935,o-Methylhippuric acid,Chemical,HMDB0011723
2-Phenylpropionate,533127,Hydratropic acid,Chemical,HMDB0011743
SM(d18:1/24:1(15Z)),731197,"Nervonoyl sphingomyelin, N-Nervonoyl-D-erythro-sphingosylphosphorylcholine",Chemical,HMDB0012107
LysoPC(17:0),215500,1-Heptadecanoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0012108
Hydroxypropionylcarnitine,135851,3-Hydroxypropionylcarnitine,Chemical,HMDB0013125
Valerylcarnitine,954089,"C5 Carnitine, Pentanoylcarnitine",Chemical,HMDB0013128
Hydroxyvalerylcarnitine,379723,3-Hydroxyvalerylcarnitine,Chemical,HMDB0013132
trans-2-Dodecenoylcarnitine,393260,,Chemical,HMDB0013326
"PC(o-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",429304,1-O-Hexadecyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013409
PC(o-16:1(9Z)/22:0),130814,1-O-(9Z-Hexadecenyl)-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013416
"PC(o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",464295,1-O-Octadecyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013422
"PC(o-18:1(11Z)/18:2(9Z,12Z))",303835,1-O-(11Z-Octadecenyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013425
"PC(o-18:1(9Z)/18:2(9Z,12Z))",219459,1-O-(9Z-Octadecenyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013429
PC(o-18:1(9Z)/20:1(11Z)),528046,1-O-(9Z-Octadecenyl)-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0013431
PC(o-18:1(9Z)/24:0),989993,1-O-(9Z-Octadecenyl)-2-lignoceroyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013434
"PC(o-18:2(9Z,12Z)/24:0)",180158,"1-O-(9Z,12Z-Octadecadienyl)-2-lignoceroyl-sn-glycero-3-phosphocholine",Chemical,HMDB0013438
"PC(o-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",630057,,Chemical,HMDB0013444
"PC(o-22:0/18:3(9Z,12Z,15Z))",303078,1-O-Docosyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013446
PC(o-22:0/20:1(11Z)),981754,1-O-Docosyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0013447
"PC(o-22:0/20:4(8Z,11Z,14Z,17Z))",546949,,Chemical,HMDB0013448
"PC(o-22:1(13Z)/22:3(10Z,13Z,16Z))",104696,,Chemical,HMDB0013453
"PC(o-22:2(13Z,16Z)/20:2(11Z,14Z))",657811,,Chemical,HMDB0013454
"PC(o-22:2(13Z,16Z)/22:2(13Z,16Z))",868336,,Chemical,HMDB0013455
"PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))",155831,,Chemical,HMDB0013456
"PC(o-24:0/18:3(6Z,9Z,12Z))",436493,1-O-Tetracosyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013458
"PC(o-24:0/18:3(9Z,12Z,15Z))",644844,1-O-Tetracosyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0013459
"PC(o-24:0/20:4(8Z,11Z,14Z,17Z))",146193,,Chemical,HMDB0013460
SM(d18:0/14:1(9Z)(OH)),515379,,Chemical,HMDB0013462
SM(d18:0/22:1(13Z)(OH)),952851,,Chemical,HMDB0013466
Triglycerides,321593,"TG, Triacylglycerol, TAG",Chemical,N/A
LDL Cholesterol,655074,"LDL-C, Low-Density Lipoprotein Cholesterol",Chemical,N/A
HDL Cholesterol,310260,"HDL-C, High-Density Lipoprotein Cholesterol",Chemical,N/A
1-Hydroxyphenanthrene,682694,1-Phenanthrol,Chemical,HMDB0059797
1-Hydroxypyrene,144116,,Chemical,HMDB0013139
1-Naphthol,638987,"alpha-Naphthol, α-Naphthol",Chemical,HMDB0012138
2-Hydroxyfluorene,930693,,Chemical,HMDB0013163
2-Naphthol,457726,"beta-Naphthol, β-Naphthol",Chemical,HMDB0012322
"2,4-Dichlorophenol",861878,"2,4-DCP",Chemical,HMDB0004811
"2,4-Dichlorophenoxyacetic acid",113626,"2,4-D",Chemical,HMDB0041797
"2,4,5-Trichlorophenol",737728,"2,4,5-TCP",Chemical,HMDB0061729
"2,4,6-Trichlorophenol",971367,"2,4,6-TCP",Chemical,HMDB0061728
"2,5-Dichlorophenol",644387,"2,5-DCP",Chemical,HMDB0041800
"2,5-Dimethylfuran",484503,,Chemical,HMDB0033182
3-Hydroxyfluorene,969497,,Chemical,HMDB0059802
3-Hydroxyphenanthrene,682927,3-Phenanthrol,Chemical,HMDB0059799
9-Hydroxyfluorene,634088,,Chemical,HMDB0059803
Arsenic,748179,As,Chemical,HMDB0002290
Barium,787259,Ba,Chemical,HMDB0004142
Bisphenol A,526273,BPA,Chemical,HMDB0032133
Chloroform,409120,Trichloromethane,Chemical,HMDB0029596
Chondrillasterol,202912,,Chemical,HMDB0033885
Diethyldithiophosphate,775933,DEDTP,Chemical,HMDB0061736
Dimethyldithiophosphate,596361,DMDTP,Chemical,HMDB0061737
Dimethylphosphate,242136,DMP,Chemical,HMDB0061734
Ethylbenzene,885421,,Chemical,HMDB0059905
Mono-(2-ethyl-5-carboxypentyl) phthalate,798925,MECPP,Chemical,HMDB0094647
Mono-(2-ethyl-5-hydroxyhexyl) phthalate,754271,MEHHP,Chemical,HMDB0094679
Mono-(2-ethyl-5-oxohexyl) phthalate,208313,MEOHP,Chemical,HMDB0094645
Mono-(3-carboxypropyl) phthalate,186062,MCPP,Chemical,HMDB0061748
Mono-benzyl phthalate,976686,MBzP,Chemical,HMDB0061744
o-Xylene,537039,"1,2-Dimethylbenzene",Chemical,HMDB0059851
Pentachlorophenol,217809,PCP,Chemical,HMDB0041974
Perchlorate,572030,ClO4-,Chemical,HMDB0094714
Perchloroethylene,794448,"Tetrachloroethylene, PCE",Chemical,HMDB0041980
Perfluorodecanoic acid,714799,PFDA,Chemical,HMDB0061738
Perfluorohexane sulfonic acid,287896,PFHxS,Chemical,HMDB0094700
Perfluorononanoic acid,223312,PFNA,Chemical,HMDB0061739
Perfluorooctane sulfonamide,410806,PFOSA,Chemical,HMDB0061740
Perfluorooctanesulfonic acid,308590,PFOS,Chemical,HMDB0059586
Perfluorooctanoic acid,982778,PFOA,Chemical,HMDB0059587
Perfluoroundecanoic acid,189488,PFUnDA,Chemical,HMDB0061743
Styrene,633944,Vinylbenzene,Chemical,HMDB0034240
Thallium,729552,Tl,Chemical,HMDB0013724
Toluene,765546,Methylbenzene,Chemical,HMDB0034168
Triclosan,198985,,Chemical,HMDB0061385
(2E)-2-Heptenal,263565,,Chemical,HMDB0033827
1-Hydroxy-2-butanone,196343,,Chemical,HMDB0031507
2-Furancarboxaldehyde,517298,Furfural,Chemical,HMDB0032914
2-Hexenal,903530,,Chemical,HMDB0031496
2-Hexenoylcarnitine,191960,,Chemical,HMDB0013161
2-Hydroxyglutarate,437699,"2-HG, alpha-Hydroxyglutarate",Chemical,HMDB0059655
2-Nonenal,277239,,Chemical,HMDB0031269
3-Hydroxy-cis-5-tetradecenoylcarnitine,522801,,Chemical,HMDB0013330
3-Hydroxybutyrylcarnitine,695108,,Chemical,HMDB0013127
3-Hydroxyisovalerylcarnitine,312953,3-OH-C5 carnitine,Chemical,HMDB0061189
3-Methylglutarylcarnitine,698201,,Chemical,HMDB0000552
4-Decenal,123834,,Chemical,HMDB0041014
4-Hydroxyhippuric acid,538454,p-Hydroxyhippuric acid,Chemical,HMDB0013678
4Alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol,433221,,Chemical,HMDB0012173
Acrolein,921339,2-Propenal,Chemical,HMDB0041822
Ammonium,498473,NH4+,Chemical,HMDB0041827
Arginine vasopressin 1-8,942950,,Chemical,HMDB0012895
beta-Pinene,864677,β-Pinene,Chemical,HMDB0036560
Butyl propionate,129235,,Chemical,HMDB0030052
Capryloylglycine,992264,N-Octanoylglycine,Chemical,HMDB0000832
cis-5-Decenedioic acid,214336,,Chemical,HMDB0013227
Coprocholic acid,997003,,Chemical,HMDB0000601
Cytidine monophosphate,375309,"CMP, Cytidylate",Chemical,HMDB0000095
Deoxyadenosine triphosphate,598059,dATP,Chemical,HMDB0001532
Diacetyl,549220,"2,3-Butanedione",Chemical,HMDB0003407
Ethyl butyrate,288234,,Chemical,HMDB0033889
Ethyl propionate,124757,,Chemical,HMDB0030058
Ethylamine,373335,Ethanamine,Chemical,HMDB0013231
Heptanal,190009,,Chemical,HMDB0031475
Indole,695816,,Chemical,HMDB0000738
Isocaproic acid,556212,4-Methylpentanoic acid,Chemical,HMDB0000689
Lauric aldehyde,647382,Dodecanal,Chemical,HMDB0033933
Linoleyl carnitine,540147,C18:2 Carnitine,Chemical,HMDB0006469
Meta-hydroxyphenylhydracrylic Acid,987030,,Chemical,HMDB0062595
Methyl butyrate,870273,,Chemical,HMDB0033890
N4-Acetylcytidine,356485,ac4C,Chemical,HMDB0005923
Nitrogen,826566,N,Chemical,HMDB0001371
Nonanal,574002,Aldehyde C-9,Chemical,HMDB0059835
Nonanoylcarnitine,602656,C9 Carnitine,Chemical,HMDB0013288
Octadecenoylcarnitine,562670,C18:1 Carnitine,Chemical,HMDB0094687
Octyl acetate,687758,,Chemical,HMDB0038602
PC(O-16:0/20:0),751763,,Chemical,HMDB0013406
PC(O-16:0/22:0),110239,,Chemical,HMDB0013408
PC(O-18:0/24:0),995766,,Chemical,HMDB0013423
PC(O-20:0/22:0),795654,,Chemical,HMDB0013443
"PC(O-22:0/22:3(10Z,13Z,16Z))",584779,,Chemical,HMDB0013449
"PC(O-22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",938423,,Chemical,HMDB0013450
